district;nomParty;listOrder;name;acadTitle;age;occupation;residency
5100  Hlavné mesto SR Bratislava;Demokratická strana;35;¼ubomir Mojžíšek;Ing.;31;ekonóm;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická strana;36;Jozef Minárik;;35;vodiè;Žilina
5100  Hlavné mesto SR Bratislava;Demokratická strana;37;Igor Malinovský;;28;nám.riadit.SAV;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická strana;38;Helena Hatalová;;52;podnikate¾ka;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická strana;39;Ivan Kubáò;Ing.;45;súkr.podnikat.;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická strana;40;Juraj Kurutz;;34;manager;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;1;Milan Kòažko;;49;poslanec NR SR;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;2;Vladimír Bajan;Ing.;34;poslanec NR SR;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;3;František Kurej;Ing.;32;odborový predák;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;4;Alena Huanová;JUDr.;39;právnièka;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;5;Milan Janièina;JUDr.;45;minister;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;6;Zdena Grúberová;;60;hereèka;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;7;Branislav Zahradník;;21;študent;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;8;Milada Dobrotková;Ing.;38;odborový predák;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;9;Dušan Nikodým;JUDr. CSc.;64;poradca NR SR;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;10;František Hirja;Ing.;41;programátor;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;11;Jozef Košta;CSc.;45;porad.pred.vlády;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;12;Gabriela Nemkyová;;29;novinárka;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;13;Milan Beier;MUDr.;40;lekár;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;14;Dušan Kosík;Ing.;40;podnikate¾;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;15;Jozef Hrabina;RNDr.;32;jadrový fyzik;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;16;Ján Krajniak;Ing.;36;riadite¾ podniku;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;17;Alfred Nicholson;;38;poradca ministra;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;18;Ivan Rúèka;;41;ved.-výsk.prac.;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;19;Vladimír Èerný;;43;herec;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;20;Dušan Roman;;51;podnikate¾;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;21;Milan Zemko;;50;riad.odb.KPSR;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;22;Albert Škarvan;Ing.;49;banský inžinier;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;23;Miroslav Èutka;Ing.;44;programátor;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;24;Martin Križan;Ing.;52;podnikate¾;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;25;O¾ga Hirnerová;;51;manager;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;26;Karol Jarábek;MUDr.;44;lekár;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;27;Ján Meleg;;46;strážna služba;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;28;Dušan Harvan;Ing.;50;novinár;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;29;Jaroslav Veselský;Ing.;29;podnikate¾;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;30;Štefan Hašèík;;38;fyzik;Bratislava
5100  Hlavné mesto SR Bratislava;Demokratická únia Slovenska;31;Viliam Rizman;;31;technik;Martin
5100  Hlavné mesto SR Bratislava;Hnutie za prosperujúce Èesko + Slovensko;1;Ladislav Èisárik;;62;grafik;Bratislava
5100  Hlavné mesto SR Bratislava;Hnutie za prosperujúce Èesko + Slovensko;2;Tomáš Janíèek;Ing.;50;stroj.technik;Bratislava
5100  Hlavné mesto SR Bratislava;Hnutie za prosperujúce Èesko + Slovensko;3;Peter Holéczy;JUDr. Ing.;52;politológ;Košice
5100  Hlavné mesto SR Bratislava;Hnutie za prosperujúce Èesko + Slovensko;4;Denisa Hózová;;23;študentka psychol.;Bratislava
5100  Hlavné mesto SR Bratislava;Hnutie za prosperujúce Èesko + Slovensko;5;Bøetislav Lukeš;Ing.;50;technický prac.;Bratislava
5100  Hlavné mesto SR Bratislava;Hnutie za prosperujúce Èesko + Slovensko;6;Pavel Varga;Ing.;43;technik;Košice
5100  Hlavné mesto SR Bratislava;Hnutie za prosperujúce Èesko + Slovensko;7;Peter Nürnberger;;38;podnikate¾;Bratislava
5100  Hlavné mesto SR Bratislava;Hnutie za prosperujúce Èesko + Slovensko;8;Ivan Ambros;Ing.;41;technik;Bratislava
5100  Hlavné mesto SR Bratislava;Hnutie za prosperujúce Èesko + Slovensko;9;Ján Martínek;Ing.;65;bánský inž.;Bratislava
5100  Hlavné mesto SR Bratislava;Hnutie za prosperujúce Èesko + Slovensko;10;Tibor Putin;;42;vodiè;Košice
5100  Hlavné mesto SR Bratislava;Hnutie za prosperujúce Èesko + Slovensko;11;Jozef Tulipán;;41;geodet;Košice
5100  Hlavné mesto SR Bratislava;Hnutie za prosperujúce Èesko + Slovensko;12;Juraj Kalaš;;21;stavebný technik;Košice
5100  Hlavné mesto SR Bratislava;Hnutie za prosperujúce Èesko + Slovensko;13;Ladislav Bielik;;42;podnikate¾;Košice
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;1;Katarína Tóthová;Prof.JUDr.DrSc.;54;právnièka;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;2;Augustín Marián Húska;Prof.Ing.DrSc.;65;ekonóm;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;3;Irena Belohorská;MUDr.;46;lekárka;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;4;Marta Aibeková;PhDr;47;psychologièka;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;5;Jozef Straòák;Ing.;33;ved.Kanc.HZDS;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;6;Dáša Lenèešová;Ing. CSc.;33;znalec;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;7;Milica Suchánková;MUDr. CSc.;41;detská lekárka;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;8;Anna Nováková;;40;kontrolórka;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;9;Richard Volek;Ing.;60;predseda OP HZDS;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;10;Mária Klímová;;52;riad.kancelárie ÚNMS;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;11;Ladislav Ulický;Doc.Ing.CSc.;63;docent STU;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;12;Åubomír Dubecký;Ing.CSc.;39;štátny zamestnanec;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;13;Miroslav Fischer;Mgr.;62;režisér SND;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;14;Miroslav Ivan;Ing.;38;sekretár SÈK;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;15;Pavol Röth;Ing.;35;strojný inžinier;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;16;Marcela Šajtlavová;Ing.;43;štátny zamestnanec;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;17;Åudovít Hudek;Doc.JUDr.CSc.;46;komerèný právnik;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;18;Zdenka Kramplová;Ing.;37;agronóm;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;19;Marián Jurèák;Ing.;47;strojný inžinier;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;20;Juraj Kerekeš;Ing.;42;zástupca riad.odb.;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;21;Åudovít Kollárik;Ing.;40;prednosta MÚ;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;22;Marián Kostolányi;RNDr.;37;prednosta MÚ;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;23;Michal Pridala;Mgr.;42;stredošk.uèite¾;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;24;Vladimír Zeman;Ing.;49;vrchný radca MDSVP;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;25;Katarína Abrahámová;MUDr.;47;lekárka;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;26;František Rapant;Ing.;55;technik;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;27;Dušan Mäsiar;PharmDr.;51;poslanec NR SR;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;28;Ludìk Vrtík;MUDr.;38;lekár;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;29;Ladislav Klinko;Doc.Ing.CSc.;60;ekonóm-ved.prac.;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;30;Ivan Hadviger;Ing.;53;súkr.podnikate¾;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;31;Yvonne Hollá;PhDr.;40;zástupca starostu;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;32;Ján Šimko;Ing.;42;staveb.podnikate¾;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;33;Milan Borgu¾a;Ing.;45;ekonóm;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;34;Alena Gallovièová;Mgr.;40;pedagóg;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;35;Dagmar Gašparíková;RNDr.;46;štátny zamestnanec;Trnava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;36;Viera Trnovcová;Ing.CSc;57;fyzièka-ved.prac.;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;37;Marcela Morsztýnová;JUDr.;49;právnièka;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;38;Milan Hejèík;Ing.;48;inžinier ekonómie;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;39;Marián Ostatník;PaedDr.CSc;44;vedec.prac.SAV;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;40;Milan Klobušník;Ing.;58;strojník enarg.zar.;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;41;Judita Bodišová;Ing.;30;ekonómka;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;42;Milan Škodný;Ing.;57;podnikate¾;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;43;Jozef Granec;Mgr.;64;uèite¾;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;44;Michal Gerge¾;Ing.;59;ekonóm;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;45;František Kavecký;Ing.;25;strojný inžinier;Bratislava
5100  Hlavné mesto SR Bratislava;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;46;Peter Adamec;Ing.;41;stavebný inžinier;Bratislava
5100  Hlavné mesto SR Bratislava;Komunistická strana Slovenska;1;Karol Uhrík;RSDr.;44;technik;Bratislava
5100  Hlavné mesto SR Bratislava;Komunistická strana Slovenska;2;František Kasanický;Ing.;50;obch.referent;Bratislava
5100  Hlavné mesto SR Bratislava;Komunistická strana Slovenska;3;Jozef Bíreš;;44;podnikate¾;Bratislava
5100  Hlavné mesto SR Bratislava;Komunistická strana Slovenska;4;Valéria Majerníková;;44;odb.referentka;Bratislava
5100  Hlavné mesto SR Bratislava;Komunistická strana Slovenska;5;O¾ga Fabryová;;47;zdrav.pracov.;Bratislava
5100  Hlavné mesto SR Bratislava;Komunistická strana Slovenska;6;Ivan Schurman;;59;akad.mal.-graf.;Plavecký Štvrtok
5100  Hlavné mesto SR Bratislava;Komunistická strana Slovenska;7;Jozef Horváth;;44;robotník;Bratislava
5100  Hlavné mesto SR Bratislava;Komunistická strana Slovenska;8;Ján Dziak;Ing.CSc.;61;docent-ekonóm;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;1;Imrich Puškár;Ing.Arch.CSc.;63;I.námestník primátor;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;2;Emil Križan;MUDr.;59;riadite¾ NsP Kramáre;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;3;Andrej Ivanov;Ing.;52;podpredseda NÚZPS;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;4;Sergej Kohút;JUDr.;54;štát.tajomník MS SR;Banská Bystrica
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;5;Andrej Trnovec;RNDr.;31;hydrogeológ;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;6;Rastislav Bednárik;PhDr.,CSc.;44;výskumný pracovník;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;7;Valéria Boøutová;Mgr.;42;sociológ;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;8;Štefan Trenèiansky;Ing.;46;technik;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;9;Otto Znamenáèek;;64;dôchodca;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;10;Kamil Morvay;Ing.;63;stavebný inžinier;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;11;Ivan Martiško;Ing.;54;ekonóm;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;12;Ján Stecker;;41;uèite¾;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;13;Rastislav Mráz;Ing.;42;ekonóm;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;14;Jozef Laèek;Doc.Ing.CSc.;62;vysokoškol.pedagóg;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;15;Jozef Deèo;Ing.;47;riadite¾ SOU;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;16;Dušan Mísal;;44;ekonóm;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;17;Anton Goga;Ing.;50;staveb.inž.;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;18;Eduard Morvay;MUDr.;48;zverolekár;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanská sociálna únia Slovenska;19;Gustáv Laurenèík;Ing.;62;elektroinžinier;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;1;Ivan Šimko;JUDr.Ing.;39;právnik;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;2;František Šebej;PhDr.;47;psychológ;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;3;Emil Komárik;PhDr.CSc.;54;psychológ;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;4;Ladislav Šutý;Ing.;32;elektrotechnik;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;5;Pavol Bielik;RNDr.CSc.;41;fyzik;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;6;Vladimír Palko;RNDr.CSc.;37;matematik;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;7;Mária Demeterová;Mgr.;45;žurnalistka;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;8;Aloiz Rakús;MUDr.;47;lekár;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;9;Peter Mach;RNDr.;43;matematik;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;10;Ján Porubský;MUDr.CSc.;47;lekár;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;11;Anton Pristaš;Ing.;57;chemik;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;12;Ján Martinák;Ing.;33;stavbár;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;13;Martin Porubjak;;50;dramaturg;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;14;Jozef Husár;;48;herec;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;15;Peter Kresánek;;43;historik;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;16;Ján Žatko;Ing.;36;elektrotechnik;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;17;Jozef Harvanèík;Ing.;47;stavbár;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;18;Rudolf Kováè;MUDr.CSc.;54;lekár;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;19;Anton Augustín;Ing.;53;stavbár;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;20;Martin Demeš;MUDr.;35;lekár;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;21;Jozef Èierny;Ing.;56;strojár;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;22;Gabriel Kosnáè;Ing.;34;chemik;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;23;Veronika Lombardini;Ing.;36;programátor;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;24;Štefan Bederka;Doc.Ing.CSc.;56;pedagóg;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;25;Jarmila Vaòková;PhDr.;46;filológ;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;26;Mária Orgonášová;MUDr.CSc.;60;lekárka;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;27;Juraj Šecko;Ing.;60;energetik;Marianka
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;28;Stanislav Janota;MUDr.CSc.;42;lekár;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;29;Vojtech Horák;Ing.arch.;68;architekt;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;30;Mária Šamová;JUDr.;45;právnièka;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;31;Karol Pastor;RNDr.CSc.;44;pedagóg;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;32;Emanuel Hauskrecht;;56;strojár;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;33;Bystrík Hollý;Ing.;44;ekonóm;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;34;Karol Kolada;Ing.;50;projektant;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;35;Jozef Mikloško;RNDr.DrSc.;55;vedec.pracovník;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;36;Agáta Pešková;Ing.;35;elektrotechnik;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;37;Viliam Mokráò;Ing.;36;stavbár;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;38;Ján Uhnák;Ing.CSc.;62;chemik;Bratislava
5100  Hlavné mesto SR Bratislava;Kresanskodemokratické hnutie;39;Peter Tóth;;23;novinár;Bratislava
5100  Hlavné mesto SR Bratislava;Magyar Koalíció - Maïarská koalícia, Magyar Kereszténydemokrata Mozgalom - Maïarské kresanskodemokratické hnutie, Együttélés - Spolužitie, Magyar Polgári Párt - Maïarská obèianska strana;1;László Flórián;Mgr.;45;podnikate¾;Bratislava
5100  Hlavné mesto SR Bratislava;Magyar Koalíció - Maïarská koalícia, Magyar Kereszténydemokrata Mozgalom - Maïarské kresanskodemokratické hnutie, Együttélés - Spolužitie, Magyar Polgári Párt - Maïarská obèianska strana;2;Béla Pálházy;MUDr.;46;lekár;Bratislava
